Run #,tau_0_bas,tau_0_pris,tau_0_pyr,tau_0_twin,tau_1_bas,tau_1_pris,tau_1_pyr,theta_0_bas,theta_0_pris,theta_0_pyr,C45_R2,CND_R2,CRD_R2,CTD_R2,T45_R2,TRD_R2,TTD_R2,mean_R2,Objective Function
1,17.95933471,105.2451362,114.5745022,27.83207446,14.45821317,18.01943999,141.3115129,181.3406577,448.1268025,2152.85,-1.033781839,0.183238212,0.436312857,0.107026161,-0.388378468,-5.279940515,-0.5248158,-0.928619913,1.709124819
2,9.047684443,116.6436255,117.7871366,43.47257191,14.89962615,23.00610361,152.9129473,92.54352636,434.5291829,2247.15,-0.375227599,0.249429472,0.579066871,0.292062067,-1.099538547,-8.985848882,-0.590785619,-1.418691748,2.197049909
3,13.87515068,116.8102541,118.6413367,47.3369192,2.544945449,13.97267109,130.811017,32.57038224,237.4856184,1423.77,0.686009037,0.9378434,0.961773209,0.896715672,0.568698575,-1.494900945,0.562593478,0.445533204,0.361306886
4,13.69225605,96.5975433,128.8029297,31.78377966,12.83367666,26.59929808,126.4568551,87.12489509,370.0480659,2691.1,-0.117683147,0.348231666,0.646893946,0.382965386,0.483887917,-1.153553709,0.297656454,0.126914073,0.666483629
5,14.85389487,89.02784771,127.6690318,48.83268482,16.87939269,23.82209506,141.5709163,106.6221103,256.2540627,2869.5,0.582799664,0.254646587,0.903956361,0.495176092,0.983940432,0.331549451,0.859058469,0.630161008,0.194322889
6,6.033295186,91.50408179,126.7548638,32.25223163,16.98095674,27.40555428,123.7514305,135.8635843,411.8091096,2136.95,0.351257538,0.751680619,0.793373662,0.704390401,0.844718026,0.006231154,0.75951313,0.601594933,0.21919243
7,14.9288777,102.9617762,110.4202335,48.80865187,15.98509194,14.59484245,132.1355001,124.4522774,162.5696193,2443.2,0.537711328,0.717205201,0.929150161,0.695452517,0.873545608,-0.459852455,0.668614816,0.565975311,0.25081698
8,14.82890059,110.3843748,114.4998856,33.23224231,2.653101396,11.9079118,145.8220798,156.5929656,437.6417182,1304.81,0.593015931,0.926095897,0.923198698,0.883549707,0.817587195,0.206851527,0.743255216,0.727650596,0.114218449
9,15.8802472,83.84161135,120.7878233,25.64660105,1.267093919,1.578805219,119.5933471,94.07141222,162.3759823,2109.45,0.347934032,0.914632128,0.682010731,0.926282195,-2.3172341,-12.2782191,-0.247998934,-1.710370435,2.487821733
10,16.32697032,101.2796216,121.8832685,26.21347372,6.599450675,15.18161288,145.0179294,19.56740673,427.2928969,2791.78,0.049877543,0.375682356,0.60768944,0.43971777,0.921341377,0.773917438,0.771314906,0.562791547,0.253672486
11,10.13334859,99.68535897,129.42916,31.02845808,14.42574197,3.000595102,140.6637675,169.242237,152.3355459,2430.69,0.542236414,0.577174078,0.802376095,0.681349235,0.695159283,0.232563596,0.945713358,0.639510294,0.186294506
12,9.42200351,105.616846,129.1046006,48.42259861,12.56023499,22.20250248,121.7364767,157.1061265,272.9355306,1597.3,0.5651434,0.802823782,0.938907922,0.780627165,0.610923694,-1.617369761,0.481966986,0.36614617,0.436112764
13,16.41425193,86.3245594,129.0185397,47.93125811,1.557625696,1.02699321,150.5371176,146.5587854,176.3178454,1263.68,0.36650512,0.911451856,0.611048154,0.944206114,-2.361571311,-9.890612526,-0.239898945,-1.379838791,2.158334655
14,14.18480201,110.1847868,112.8033875,49.15159838,13.50067903,13.37306783,151.2649729,121.4805829,311.7991913,1371.74,0.423825151,0.837110516,0.908038098,0.763514976,0.542300172,-2.095554343,0.444535902,0.260538639,0.537112897
15,13.6991989,115.020676,114.9027237,32.30792706,10.39076829,8.676249332,143.0365454,112.4263371,290.3556878,2507.07,-0.05986918,0.431298771,0.67420087,0.436820831,0.441459658,-1.93345569,0.378480805,0.052705152,0.738844949
16,11.91924926,119.7167926,138.5163653,47.28885328,5.523994812,7.869550622,141.4763104,43.37865263,362.5607691,2117.3,0.490381468,0.300412552,0.855548865,0.528634348,0.659112121,-1.305365477,0.601706364,0.304347177,0.495049408
17,12.59389639,81.01991302,139.0286107,42.9797055,6.455405509,11.38265049,137.2915236,146.3732357,195.7604334,1966.6,0.661794733,0.88559103,0.843193719,0.949103463,-1.216901781,-6.649246068,0.303682827,-0.603254583,1.385916133
18,16.27658503,108.1187152,119.994049,48.27115282,5.206607156,15.68917372,159.9649042,32.37613489,185.4905013,2527.76,0.448950212,0.272773361,0.831717544,0.470688694,0.843039015,-0.17560684,0.689841347,0.483057619,0.326415124
19,11.0870985,85.0031281,135.8187228,33.55115587,3.621622034,26.48291752,126.8345159,69.45128557,428.1248188,2229.72,0.619630335,0.780064788,0.842497044,0.797566947,0.754500482,-0.513370782,0.952045278,0.60470487,0.216461921
20,13.88606088,114.5299458,139.3925383,30.41008621,5.448554208,5.699031052,136.6369116,28.38101778,156.8322271,1200.26,0.552979881,0.806252876,0.887068329,0.800734329,0.896184036,0.508557137,0.810233898,0.751715784,0.096054048
21,14.7676051,98.98405432,132.8889906,32.40024414,2.035904479,3.711711299,155.648127,130.6652934,425.8944076,1139.74,0.796650933,0.920690044,0.909216856,0.944826096,0.292844995,-1.278266193,0.787828809,0.48197022,0.327421147
22,10.1345388,118.0657664,127.4021515,41.35461967,1.297611963,28.8437171,120.3929198,58.02548257,457.9736019,1858.26,0.237417302,0.794197425,0.829497979,0.734458908,-1.083453773,-7.900377366,-0.419504233,-0.97253768,1.752806349
23,9.305363546,116.4629587,125.9958801,42.0576791,7.237399863,25.94128328,150.2067597,31.47447929,303.107042,1861.16,0.115586474,0.52802112,0.748731783,0.550307326,-0.500281035,-5.350249757,-0.109592824,-0.573925273,1.356825375
