,TTD_eps,TTD_sig,TRD_eps,TRD_sig,T45_eps,T45_sig,CRD_eps,CRD_sig,CTD_eps,CTD_sig,C45_eps,C45_sig,CND_eps,CND_sig
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.001,66.59101124,0.001,183.8075314,0.001,120.4634831,0.001,127.3992467,0.001,102.0967742,0.001,83.61581921,0.001,125.6428571
2,0.002,125.7640449,0.002,213.317757,0.002,152.1118881,0.002,149.6666667,0.002,123.8121827,0.002,148.0204809,0.002,138.9977117
3,0.003,135.8764045,0.003,225.6707317,0.003,164.6756757,0.003,150.6328502,0.003,125.0812183,0.003,148.109528,0.003,144.4897025
4,0.004,138.9775028,0.004,227.0121951,0.004,166.027027,0.004,151.5990338,0.004,126.3502538,0.004,148.1985752,0.004,149.9816934
5,0.005,140.2148481,0.005,228.3536585,0.005,167.3783784,0.005,152.5652174,0.005,127.6192893,0.005,148.2876224,0.005,155.4736842
6,0.006,141.4521935,0.006,229.695122,0.006,168.7297297,0.006,153.2466368,0.006,128.8883249,0.006,148.3766696,0.006,159.167147
7,0.007,142.6895388,0.007,231.0365854,0.007,170.0810811,0.007,153.6950673,0.007,130.1573604,0.007,148.4657168,0.007,161.3285303
8,0.008,143.9268841,0.008,232.3780488,0.008,171.4324324,0.008,154.1434978,0.008,131.4263959,0.008,148.554764,0.008,163.4899135
9,0.009,145.1642295,0.009,233.7195122,0.009,172.7837838,0.009,154.5919283,0.009,132.6954315,0.009,148.6438112,0.009,165.6512968
10,0.01,146.4015748,0.01,235.0609756,0.01,174.1351351,0.01,155.0403587,0.01,134.046832,0.01,148.7328584,0.01,167.8126801
11,0.011,147.6389201,0.011,236.3076923,0.011,175.4864865,0.011,155.4887892,0.011,135.4242424,0.011,148.8219056,0.011,169.9740634
12,0.012,148.8762655,0.012,237.3333333,0.012,176.8378378,0.012,155.9372197,0.012,136.8016529,0.012,148.9109528,0.012,172.1354467
13,0.013,150.2115385,0.013,238.3589744,0.013,178.1891892,0.013,156.3856502,0.013,138.1790634,0.013,150.7027677,0.013,174.3972603
14,0.014,151.5576923,0.014,239.3846154,0.014,179.24,0.014,156.8340807,0.014,139.5564738,0.014,149.3649635,0.014,176.7260274
15,0.015,152.9038462,0.015,240.4102564,0.015,179.84,0.015,157.2825112,0.015,140.9338843,0.015,149.729927,0.015,179.0547945
16,0.016,154.25,0.016,241.4358974,0.016,180.44,0.016,157.7309417,0.016,142.3112948,0.016,150.0948905,0.016,181.3835616
17,0.017,155.5961538,0.017,242.4615385,0.017,181.04,0.017,158.4,0.017,143.4929577,0.017,150.459854,0.017,183.7123288
18,0.018,156.9423077,0.018,243.4871795,0.018,181.64,0.018,159.4,0.018,144.4788732,0.018,150.8248175,0.018,186.0410959
